relative_path	bytes	extension	file_type	sha256	duplicate_group	classification	recommended_action
ADR-0001-canonical-repository.md	1019	.md	ASCII text, with very long lines (358)	11b6c22d863a693c464fa343541cad2ffdba950ea6fde0d68cc86352321f0387		A. Current final documentation	Compare with current documentation; import only after review.
ADR-0002-modular-architecture.md	1188	.md	ASCII text, with very long lines (531)	e3fb76fc9fc70aa79d4e5c238a9c811e0a23e8d592ce9dc57ed6e628cd35960d		A. Current final documentation	Compare with current documentation; import only after review.
ADR-0003-zero-trust-security-baseline.md	1134	.md	ASCII text, with very long lines (497)	c3b747b9c4ed482ef0d3a42f922874404c0e869b75c0c33a0efed12fc95c9b0a		A. Current final documentation	Compare with current documentation; import only after review.
ADR-0004-data-and-audit-boundaries.md	1202	.md	ASCII text, with very long lines (540)	08403df41ec800865ad3278a0be319284dea6d68b84cbe93d5bd6d8ee42d1766		A. Current final documentation	Compare with current documentation; import only after review.
ADR-0005-android-and-firmware-safety.md	1153	.md	ASCII text, with very long lines (489)	b8544302b3d35df7ff2d44dbffb8304e587a7a0e77f63bcfebd5ba1f50958973		A. Current final documentation	Compare with current documentation; import only after review.
ADR-0006-ai-provider-governance.md	1197	.md	ASCII text, with very long lines (572)	2402095adc74472b77b33f966ab081222be8a40615171beb9dea10978f1ef38f		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
ADR-0007-release-provenance-and-recovery.md	1141	.md	ASCII text, with very long lines (455)	7a977ec8896c854a8b7f036c2d44ea6ac663e82d16059e84736c2c3b67d56127		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
ADR-README.md	1093	.md	ASCII text	065bccdd78e15e0a039bc65765e30a2959b919e0d7b33154f3272f335fb136ed		A. Current final documentation	Compare with current documentation; import only after review.
Authorization gate resolved in merged branch.md	758	.md	ASCII text	38707de76664e1325f136a392897ea4c9bdf5e065dc4e9e9ea6b5e026a3f9ea3		A. Current final documentation	Compare with current documentation; import only after review.
CAPABILITY_REGISTER.md	6035	.md	Unicode text, UTF-8 text, with very long lines (433)	06f2ba4301493387f4f3f6c221dd3676b7491157aa00a693c959455668ad1dc4		A. Current final documentation	Compare with current documentation; import only after review.
Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	18403	.md	Unicode text, UTF-8 text, with very long lines (368)	96880821b528416a8a75446db3ea04d64b0164fb2d8454e55f469cb1766ad69b		F. One-time remediation script	Retain as historical procedure; do not import blindly.
Genesis Audit Trail Implementation and Compose Safety Review.md	13598	.md	ASCII text, with very long lines (420)	a96741ac7f1211d415cb2341b68af1dfda300ebb2108083f1f441f80bf68ef50		A. Current final documentation	Compare with current documentation; import only after review.
Genesis CI/CD and Issue #70 Validation Implementation.md	17079	.md	ASCII text, with very long lines (363)	c2d8decaa98cfe1f8611556a4484cdb9f1c08f03897328b9e9861a5874acc48d		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
Genesis Production Deployment Checklist.md	7210	.md	ASCII text, with very long lines (430)	7a948154ac7c1bfe42210646e521f5bf4beb0929a520a0b772131c146fd422b9		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
Genesis Security Baseline and PR #69 Review — Presenter Script.md	6788	.md	Unicode text, UTF-8 text, with very long lines (546)	cb68b5cdebbdbf40e420b3cfb092d399d540f6ed03dd4f3a9c2b5d745ac7c512		C. GitHub or CI evidence	Retain under evidence and reconcile with current GitHub state.
