severity	relative_path	line	behavior	redacted_excerpt	recommended_treatment
HIGH	Authorization gate resolved in merged branch.md	5	database/data deletion	PR #69 is also merged and supplied the approved immutable PostgreSQL audit path. The isolated database evidence verified `acing_identity=INSERT`, `acing_device_trust=INSERT`, and `acing_audit_reader=SELECT`; producer UPDATE/DELETE/TRUNCATE 	Do not execute/import automatically; review in isolated environment.
HIGH	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	16	possible credential-like assignment	"""Default"": ""Host=postgres;Port=5432;Database=acing_iu;Username=acing_identity;Password=[REDACTED]"	Do not execute/import automatically; review in isolated environment.
HIGH	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	17	possible credential-like assignment	"""AuditRead"": ""Host=postgres;Port=5432;Database=acing_iu;Username=acing_audit_reader;Password=[REDACTED]"	Do not execute/import automatically; review in isolated environment.
HIGH	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	170	possible credential-like assignment	cancellationToken=[REDACTED]	Do not execute/import automatically; review in isolated environment.
HIGH	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	189	database/data deletion	REVOKE INSERT, UPDATE, DELETE, TRUNCATE ON TABLE security_audit_logs FROM acing_audit_reader;	Do not execute/import automatically; review in isolated environment.
HIGH	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	195	possible credential-like assignment	ALTER ROLE acing_audit_reader WITH LOGIN PASSWORD=[REDACTED]	Do not execute/import automatically; review in isolated environment.
HIGH	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	209	possible credential-like assignment	psql -v ON_ERROR_STOP=1 -v audit_reader_password=[REDACTED] <<'SQL'	Do not execute/import automatically; review in isolated environment.
HIGH	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	210	possible credential-like assignment	ALTER ROLE acing_audit_reader WITH LOGIN PASSWORD=[REDACTED]	Do not execute/import automatically; review in isolated environment.
HIGH	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	222	possible credential-like assignment	AUDIT_READER_DB_PASSWORD=[REDACTED]	Do not execute/import automatically; review in isolated environment.
HIGH	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	276	possible credential-like assignment	"var token=[REDACTED] jti: ""revoked-jti"");"	Do not execute/import automatically; review in isolated environment.
MEDIUM	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	386	filesystem overwrite	ConvertTo-Json | Set-Content -LiteralPath $manifest -Encoding utf8NoBOM	Do not execute/import automatically; review in isolated environment.
HIGH	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	398	filesystem deletion	Remove-Item -LiteralPath $manifest -Force	Do not execute/import automatically; review in isolated environment.
HIGH	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	398	forced filesystem overwrite/move	Remove-Item -LiteralPath $manifest -Force	Do not execute/import automatically; review in isolated environment.
CRITICAL	Draft Remediation Patches — PR #69 Audit Trail and Issue #70 Validation Safety.md	426	Docker volume deletion	docker volume rm $sentinelVolume 2>$null | Out-Null	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Audit Trail Implementation and Compose Safety Review.md	59	database/data deletion	REVOKE SELECT, UPDATE, DELETE, TRUNCATE, REFERENCES, TRIGGER	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Audit Trail Implementation and Compose Safety Review.md	61	database/data deletion	REVOKE SELECT, UPDATE, DELETE, TRUNCATE, REFERENCES, TRIGGER	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Audit Trail Implementation and Compose Safety Review.md	66	database/data deletion	REVOKE INSERT, UPDATE, DELETE, TRUNCATE, REFERENCES, TRIGGER	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Audit Trail Implementation and Compose Safety Review.md	87	possible credential-like assignment	WITH LOGIN PASSWORD=[REDACTED]	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Audit Trail Implementation and Compose Safety Review.md	190	possible credential-like assignment	cancellationToken=[REDACTED]	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Audit Trail Implementation and Compose Safety Review.md	236	database/data deletion	DELETE FROM security_audit_logs WHERE id = inserted_id;	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	57	possible credential-like assignment	POSTGRES_PASSWORD=[REDACTED]	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	71	possible credential-like assignment	PGPASSWORD=[REDACTED]	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	73	possible credential-like assignment	AUDIT_READER_DB_PASSWORD=[REDACTED]	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	102	possible credential-like assignment	--set audit_reader_password=[REDACTED] \	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	105	possible credential-like assignment	WITH LOGIN PASSWORD=[REDACTED]	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	146	database/data deletion	('acing_identity', 'TRUNCATE', FALSE),	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	151	database/data deletion	('acing_device_trust', 'TRUNCATE', FALSE),	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	156	database/data deletion	('acing_audit_reader', 'TRUNCATE', FALSE);	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	201	database/data deletion	DELETE FROM security_audit_logs	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	228	database/data deletion	DELETE FROM security_audit_logs	Do not execute/import automatically; review in isolated environment.
MEDIUM	Genesis CI/CD and Issue #70 Validation Implementation.md	366	filesystem overwrite	} | ConvertTo-Json | Set-Content -LiteralPath $manifestPath -Encoding utf8NoBOM	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	385	filesystem deletion	Remove-Item -LiteralPath $manifestPath -Force	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis CI/CD and Issue #70 Validation Implementation.md	385	forced filesystem overwrite/move	Remove-Item -LiteralPath $manifestPath -Force	Do not execute/import automatically; review in isolated environment.
CRITICAL	Genesis CI/CD and Issue #70 Validation Implementation.md	432	Docker volume deletion	& docker volume rm $sentinel *> $null	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Production Deployment Checklist.md	34	database/data deletion	3. Review the staging output. Producers must retain INSERT and required sequence usage. Producers must not have UPDATE, DELETE, or TRUNCATE. The reader must have SELECT only.	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline and PR #69 Review — Presenter Script.md	25	database/data deletion	The database must enforce immutability independently of application behavior. Identity and DeviceTrust need to append events, but they should not be able to rewrite or erase the ledger. The migration revokes UPDATE, DELETE, and TRUNCATE and	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline — Detailed Executive Speaker Script.md	57	database/data deletion	Application code should not be the only immutability boundary. The database must enforce it. Identity and DeviceTrust need to append audit events, so they retain INSERT and the required sequence usage. They do not need UPDATE, DELETE, TRUNC	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline — Detailed Executive Speaker Script.md	61	database/data deletion	This is least privilege expressed as a matrix rather than a slogan. We should test the effective privileges for every principal, not merely inspect the SQL text. The test must include successful producer INSERT, successful reader SELECT, re	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline — Executive Review.md	66	database/data deletion	| Principal | INSERT | SELECT | UPDATE | DELETE | TRUNCATE |	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline — Executive Review.md	118	database/data deletion	- Producer roles cannot UPDATE, DELETE, or TRUNCATE.	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline — Revised Controls.md	22	database/data deletion	- UPDATE, DELETE, and TRUNCATE are denied at the database boundary	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline — Revised Controls.pptx	138	database/data deletion	"<p:sld xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main"" xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships"" xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""><p:cSld name=""Slide 4"""	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline — Revised Controls.pptx	213	database/data deletion	"<p:sld xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main"" xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships"" xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""><p:cSld name=""Slide 10"	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline — Revised Executive Deck Script.md	41	database/data deletion	The database role matrix is the core immutability control. Identity and DeviceTrust are producers. They can append events, and they receive only the sequence access required to create their IDs. They cannot update, delete, or truncate the l	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline — Revised Executive Deck Script.md	103	database/data deletion	Positive probes should prove that producers can insert and the reader can select. Negative probes should prove that producer UPDATE, DELETE, and TRUNCATE fail, and that reader INSERT, UPDATE, and DELETE fail. If a grant is accidentally broa	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline.pptx	161	database/data deletion	"<p:sld xmlns:a=""http://schemas.openxmlformats.org/drawingml/2006/main"" xmlns:r=""http://schemas.openxmlformats.org/officeDocument/2006/relationships"" xmlns:p=""http://schemas.openxmlformats.org/presentationml/2006/main""><p:cSld name=""Slide 6"""	Do not execute/import automatically; review in isolated environment.
CRITICAL	Genesis Security Baseline.pptx	2841	PowerShell dynamic execution	����d�ʐ���t&������G��>�k�N~IeX�ΐt)�-1�X�-��)���W%	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline: Governance, AI-Assistance Gates, Audit Remediation Review, and Container Data-Safety Safeguard.md	74	database/data deletion	The migration revokes `UPDATE`, `DELETE`, and `TRUNCATE` from `PUBLIC`, `acing_identity`, and `acing_device_trust`; it retains producer `INSERT` and creates a dedicated `acing_audit_reader` role with `SELECT` permission. The committed SQL v	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis Security Baseline: Governance, AI-Assistance Gates, Audit Remediation Review, and Container Data-Safety Safeguard.md	84	database/data deletion	| Append-only producer boundary | PostgreSQL grants deny UPDATE/DELETE/TRUNCATE and integration SQL exercises rejected mutation attempts. | Correct use of database authorization for immutability. |	Do not execute/import automatically; review in isolated environment.
HIGH	Genesis_Security_Baseline_PR69_Review_Slides.md	33	database/data deletion	- UPDATE, DELETE, and TRUNCATE are revoked at the database boundary	Do not execute/import automatically; review in isolated environment.
